id|nodes
100541050|[1162245848, 1162245905, 1162245917, 1162245922, 1162245931, 1162245940, 1162245944, 1162245949, 1162245958, 1162245962, 1162245965, 1162245971, 1162245979, 1162245982, 1162245985, 1162245990, 1162245997, 1162246005, 1162246010, 1162246016, 1162246019, 1162246023, 1162246039, 1162246043, 1162246046, 1162246052, 1162246055, 1162246056, 1162246060, 1162246064, 1162246066, 1162246069, 1162246075, 1162246080, 1162246083, 1162246087, 1162246092, 1162246093, 1162246095, 1162246096, 8822683976, 1162246100, 1162246103, 1162246108, 621548113, 8822683973, 621548114, 1162245560, 8825414231, 1162245566, 1162245571, 1162245575, 2080503532, 1162245577, 1162245579, 1162245580, 1162245583, 1162245586, 1162245590, 1162245595, 1162245602, 1162245605, 1162245607, 1162245608, 1162245609, 7442960433, 1162245610, 7442960430, 7442960426, 7442960425, 1162245613, 1162245634, 1162245635, 1162245637, 1162245640, 1162245643, 1162245647, 1162245652, 1162245656, 1162245660, 1162245663, 1162245665, 1162245668, 1162245670, 1162245674, 1162245678, 1162245681, 1162245685, 1162245688, 1162245691, 1162245693, 1162245695, 1162245704, 1162245709, 1162245714, 1162245717, 1162245722, 1162245730, 1162245739, 1162245741, 1162245747, 1162245754, 1162245767, 1162245770, 1162245784, 1162245790, 1162245799, 1162245808, 1162245811, 1162245821, 1162245832, 1162245839, 1883018339, 1883018311, 1883018348, 1883018307, 1883018313, 1883018286, 1883018294, 1883018300, 1883018304, 1883018345, 1883018252, 1883018296, 1883018325, 1883018343, 1883018334, 1883018341, 1883018257, 1883018365, 1883018342, 1883018328, 1883018301, 1883018292, 1883018350, 1883018335, 1883018255, 1883018303, 1883018373, 1883018340, 1883018330, 1883018346, 1883018288, 1883018278, 1883018284, 2639141737, 2639141763, 2639141751, 2639141789, 2639141740, 2639141812, 2639141718, 2639141785, 2639141739, 2639141732, 2639141823, 2639141827, 2639141794, 2639141784, 2639141798, 2639141791, 2639141814, 2639141805, 2639141716, 2639141713, 2639141802, 2639141736, 2639141741, 2639141801, 2138027572, 2639141710, 2639141771, 2639141730, 2639141725, 2639141811, 2639141777, 2639141775, 2639141724, 2639141815, 2639141809, 2639611795, 2639611793, 2639141829, 2639141742, 2639141715, 2639612057, 2639612032, 2639611947, 2639611813, 2639611792, 2639611808, 973581735, 2639612040, 2639611777, 2639611790, 2639611942, 2639611908, 2639611914, 2639611869, 2639611746, 2639611797, 2639611983, 2639611775, 2639611940, 2639611918, 2639611963, 2639611985, 2639611912, 2639612034, 2639611977, 2639611873, 2639611844, 2639611799, 2639611840, 2639611819, 2639612009, 2639612039, 2639611735, 2639612058, 2639611945, 2639611838, 2639611756, 2139720662, 2639612043, 2639612041, 2639611934, 2639612007, 5642418293, 5642418292, 5642418291, 5642418290, 5642418289, 5642418288, 5642418287, 5642418286, 5642418285, 5642418284, 5642418283, 5642418282, 5642418294, 5642418281, 5642418280, 5642418279, 5642418278, 5642418277, 5642418276, 5642418275, 5642418274, 5642418273, 5642418272, 5642418271, 5642418270, 5642418269, 5642418268, 5642418267, 5642418266, 5642418295, 5642418296, 5642418265, 5642418841, 5642418840, 5642418839, 5642418838, 5642418837, 5642418836, 5642418835, 5642418834, 5642418833, 5642418832, 5642418831, 5642418830, 5642418829, 5642418828, 5642418827, 5642418826, 5642418825, 5642418824, 5642418823, 5642418822, 5642418821, 5642418720, 5642418719, 5642418718, 5642418717, 5642418716, 5642418715, 5642418714, 5642418713, 5642418712, 5642418711, 5642418710, 5642418709, 5642418708, 5642418707, 5642418706, 5642418705, 5642418704, 5642418703, 5642418702, 5642418701, 5642418700, 5642418699, 5642418698, 5642418697, 5642418696, 5642418695, 5642418694, 5642418693, 5642418692, 5642418691, 5642418690, 5642418689, 5642418688, 5642418687, 5642418686, 5642418685, 5642418684, 5642418683, 8538075659, 5642418682, 5642418681, 5642418680, 5642418679, 5642418678, 8538075660, 5642418677, 8538075661, 5642418676, 5642418675, 8538075662, 5642418674, 8538075663, 5642418673, 8538075664, 5642418672, 8538075665, 5642418671, 5642418670, 5643896092, 5642418669, 5642418668, 5642418667, 5642418980, 5642418979, 5642418978, 5642418977, 5642418976, 5642418975, 5642418974, 5642418973, 5642418972, 5642418971, 5642418970, 5642418969, 5642418968, 5642418967, 5642418966, 5642418965, 5642418964, 5642418963, 5642418962, 5642418961, 5642418960, 5642418959, 5642418958, 5642418957, 5642418956, 5642418955, 5642418954, 5642418953, 5642418952, 5642418951, 5642418950, 5642418949, 5642418948, 5642418947, 1141331418, 5642418946, 5642418945, 5642418944, 5642418943, 5642418942, 5642418941, 5642418940, 5642418939, 5642418938, 5642418937, 5642418936, 5642418935, 5642418934, 5642418933, 5642418932, 5642418931, 5642418930, 5642418929, 5642418928, 5642418927, 5642418926, 5642418925, 5642418924, 5642418923, 5642418922, 5642418921, 5642418920, 5642418919, 5642418918, 5642418917, 5642418916, 5642418915, 5642418914, 5642418913, 5642418912, 5642418911, 5642418910, 5689270398, 5689270397, 5689270396, 5689270395, 5689270394, 5689270393, 5689270392, 5689270391, 5689270390, 5689270389, 5689270388, 5689270387, 5689270386, 5689270385, 5689270384, 5689270383, 5689270382, 5689270381, 5689270380, 5689270379, 5689270378, 5689270377, 5689270376, 5689270375, 5689270374, 5689270373, 5689270372, 5689270371, 5689270370, 5689270369, 5689270368, 5689270367, 5689270366, 5689270365, 5689270364, 8495319464, 5689270363, 5689270362, 5689270361, 5689270360, 5689270359, 5689270358, 5689270357, 5689270356, 5689270355, 5689270354, 5689270353, 5689270352, 5689270351, 5689270350, 5689270349, 5689270348, 5689270347, 5689270346, 5689270345, 5689270344, 5689270343, 5689270342, 5689270341, 8927890465, 5689270340, 5689270339, 8927890464, 5689270338, 8927890463, 5689270337, 8927890462, 5689270336, 8927890461, 5697812775, 8927890460, 8927890459, 5697812774, 8927890458, 5697812773, 8927890457, 5697812772, 8927890456, 5697812769, 8927890455, 5697812768, 8927890454, 5697812767, 8927890453, 5697812766, 8927890452, 1010868768, 8927890451, 8927890578, 4821595906, 8927890579, 5697812764, 8927890580, 5697812763, 8927890581, 4821595908, 8927890582, 1010943462, 8927890583, 5697812761, 8927890584, 5697812760, 5697812759, 8927890428, 5697812758, 5697812757, 8927890429, 5697812756, 5697812755, 8927890430, 8927890431, 5697812754, 8927890440, 8927890432, 8927890441, 5697812753, 8927890433, 5697812752, 8927890434, 5697812751, 8927890435, 5697812750, 8927890436, 5697812749, 5697812748, 5697812747, 8927890437, 5697812746, 8927890438, 8927872314, 5697812745, 5697812744, 5697812743, 5697812742, 4821596022, 5697812741, 8927872313, 5697812740, 8927872312, 5697812739, 8927872311, 8927872310, 5697812738, 5697812737, 8927872309, 8927872308, 5697812736, 5697812733, 8927872307, 5697812732, 8927872306, 5697812731, 8927872305, 5697812730, 8927872304, 5697812729, 8927872303, 5697812728, 8927872302, 5697812727, 8927872301, 5697812726, 5697812724, 5697812723, 8927872300, 5697812722, 8927872299, 5697812721, 8927872298, 5697812419, 5697812417, 8927872297, 5697812416, 5697812415, 5697812414, 8927872296, 5697812413, 8927872295, 5697812412, 8927872294, 5697812411, 8927872293, 5697812409, 8927872292, 5697812408, 8927872291, 5697812407, 8927872290, 5697812406, 8927872289, 5697812405, 8927872288, 5697812404, 5697812403, 5697812402, 8927872287, 5697812401, 8927872286, 5697812400, 8927872285, 5697812399, 8927872284, 5697812398, 8927872283, 5697812397, 8927872282, 5697812396, 8927872281, 5697812395, 8927872280, 5697812394, 8927872279, 5697812393, 8927872278, 5697812392, 8927872277, 5697812391, 8927872276, 5697812390, 8927872275, 5697812389, 8927872274, 5697812388, 8927872273, 8927872272, 5697812387, 8927872271, 5697812386, 8927872270, 5697812385, 8927872269, 5697812384, 8927872268, 5697812383, 8927872267, 5697812382, 1010870015, 5697812381, 5697812380, 5697812379, 5697812378, 5697812377, 5697812376, 5697812375, 5697812374, 5697812373, 5697812372, 5697812371, 5697812370, 5697812369, 5697812368, 5697812367, 5697812366, 5697812365, 5697812364, 5697812363, 5697812362, 5697812361, 5697812360, 5697812359, 5697812358, 5697812357, 5697812356, 5697812355, 5697812354, 5697812353, 411847489, 5697812352, 9546146588, 9546146587, 5697812351, 5697812350, 5697812349, 5697812348, 5697812347, 5697812346, 5697812345, 5697812344, 5697812343, 5697812342, 5697812341, 5697812340, 5697812339, 5697812338, 5697812337, 5697812336, 5697812335, 5697812334, 5697812333, 5697812332, 5697812331, 5697812330, 5697812329, 5697812328, 5697812327, 5697812326, 5697812325, 5697812324, 5697812323, 5697812322, 5697812321, 5697802920, 5697802919, 5697802918, 5697802917, 5697802916, 5697802915, 5697802914, 5697802913, 5697802912, 5697802911, 5697802910, 5697802909, 5697802908, 5697802907, 5697802906, 5697802905, 5697802904, 5697802903, 5697802902, 5697802901, 5697802900, 8927890448, 5697802899, 5697802898, 5697802897, 5697802896, 5697802895, 5697802894, 5697802893, 5697802892, 5697802891, 5697802890, 5697802889, 8927890447, 8927890446, 5697802888, 5697802887, 5697812782, 5697802884, 5697802883, 5697802882, 1636072289, 5697802881, 5697802880, 5697802879, 5697802878, 5697802877, 5697802876, 5697802875, 8927890444, 5697812779, 8927890443, 5697812780, 5697812781, 8927890442, 5697802874, 8927890445, 5697802873, 5697802872, 5697802869, 5697802868, 5697802867, 5697802866, 5697802865, 5697802864, 5697802863, 5697802862, 5697802861, 5697802860, 5697802859, 5697802858, 5697802857, 5697802855, 5697802853, 5697802852, 5697802851, 8927890450, 5697802850, 8927890449, 5697802849, 5697802848, 5697802847, 5697802846, 5697802844, 5689270335, 5697812776, 5689270334, 5689270333, 5689270332, 5689270331, 5689270330, 5689270329, 5689270328, 5689270327, 5689270326, 5689270325, 5689270324, 5689270323, 5689270322, 5689270321, 5689268020, 5689268019, 5689268018, 5689268017, 5689268016, 5689268015, 5689268014, 5689268013, 5689268012, 5689268011, 5689268010, 5689268009, 5689268008, 5689268007, 5689268006, 5689268005, 5689268004, 5689268003, 5689268002, 5689268001, 5689268000, 5689267999, 5689267998, 5689267997, 5689267996, 5689267995, 5689267994, 5689267993, 5689267992, 5689267991, 5689267990, 5689267989, 5689267988, 5689267987, 5689267986, 5689267985, 5689267984, 5689267983, 5689267982, 5689267981, 5689267980, 5689267979, 5689267978, 5642418909, 5642418908, 5642418907, 1597707840, 5642418906, 5642418905, 5642418904, 5642418903, 5642418902, 1141331340, 5642418901, 5642418900, 5642418899, 5642418898, 5642418897, 5642418896, 5642418895, 5642418894, 5642418893, 5642418892, 5642418891, 5642418890, 5642418889, 1597707795, 5642418888, 5642418887, 5642418886, 5642418885, 5642418884, 5642418883, 5642418882, 5642418881, 5642418880, 5642418879, 5642418878, 5642418877, 5642418876, 5642418875, 5642418874, 5642418873, 5642418872, 5642418871, 5642418870, 5642418869, 5642418868, 5642418867, 5642418866, 5642418865, 5642418864, 5642418863, 5642418862, 5642418861, 5642418860, 5642418859, 5642418858, 5642418857, 5642418856, 5642418855, 5642418854, 5642418853, 5642418852, 5642418851, 5642418850, 5642418849, 5642418848, 5642418847, 5642418846, 5642418845, 5642418844, 5642418843, 5642418666, 5642418665, 5642418664, 937434332, 5642418663, 5642418662, 5642418661, 5642418660, 5642418659, 5642418658, 5642418657, 5642418656, 5643896052, 5642418655, 5642418654, 5642418653, 5642418652, 5642418651, 5642418650, 5642418649, 8538705653, 5642418648, 8538705654, 5642418647, 8538705655, 5642418646, 8538705656, 5642418645, 8538705657, 5642418644, 8538705658, 5642418643, 8538705659, 5642418642, 8538705640, 5642418641, 5642418640, 5642418639, 5642418638, 5642418637, 5642418636, 5642418635, 5642418634, 5642418633, 5642418632, 5642418631, 5642418630, 5642418629, 5642418628, 5642418627, 5642418626, 5642418625, 5642418624, 5642418623, 5642418622, 5642418621, 5642418320, 5642418319, 5642418318, 5642418317, 5642418316, 5642418315, 5642418314, 5642418313, 5642418312, 5642418311, 5642418310, 5642418309, 5642418308, 5642418307, 5642418306, 5642418305, 5642418264, 5642418263, 5642418262, 5642418261, 5642418842, 5642418260, 5642418259, 5642418258, 5642418257, 5642418256, 5642418255, 5642418254, 5642418253, 5642418252, 5642418251, 5642418250, 5642418249, 5642418248, 5642418247, 5642418246, 5642418245, 5642418244, 5642418243, 5642418242, 5642418241, 5642418240, 5642418239, 5642418238, 5642418237, 5642418236, 2639611904, 2639611973, 2639611888, 2639612036, 2639611910, 1151457277, 2639611927, 2639611967, 2639612038, 2639611875, 2639612052, 2639612002, 2639611817, 2639611855, 2639612000, 2639611758, 2639611762, 2639611764, 2639611773, 2639611920, 2639611938, 2639611892, 2639611989, 2639611995, 2639612031, 2639611998, 2639611949, 2639611729, 2639611859, 2639611965, 2639611785, 2639611739, 2639611810, 2639611861, 2639611850, 2639611733, 2639611906, 2639611769, 2639611971, 2639611794, 2639611956, 2639611779, 2639612025, 2639611823, 2639611993, 2639612004, 2639612047, 2639611997, 2639611781, 2639611754, 2639611789, 2639611884, 2639611898, 2639611857, 2639612013, 2639611958, 2639611836, 2639611748, 2639611833, 2639611834, 2639611842, 2639611829, 2639611929, 2639611831, 2639611853, 2639611867, 2639612050, 2639611871, 2639611886, 2639611846, 2639611821, 2639612015, 2639612006, 2639611936, 2639611902, 2639612029, 2639612021, 2639141756, 2639141749, 2639141773, 2639141779, 2639141759, 2639141813, 2639141767, 2639141745, 2639141803, 2639141782, 2639141800, 2639141806, 2639141770, 2639141819, 2639141728, 2639141707, 2639141757, 2639141825, 2639141787, 2639141778, 2639141743, 2639141816, 2639141761, 2639141781, 2639141776, 2639141772, 2639141783, 2639141824, 2639141706, 2639141764, 2639141735, 2639141747, 2639141793, 2639141817, 2639141729, 2639141754, 2639141726, 2639141828, 2639141810, 1883018338, 1883018371, 1883018363, 1883018344, 1883018305, 1883018299, 1883018309, 1883018259, 1883018290, 1883018369, 1883018376, 1883018261, 1883018332, 1883018378, 1883018337, 1883018281, 1883018298, 1883018336, 626946908, 626946910, 1883018367, 4695829929, 1162245848]
106351738|[111456630, 111456639, 111456643, 6023681624, 111316372, 1223903121, 6023681625, 1223903096, 6023681626, 1223903081, 111456630]
106351742|[1223903157, 1223903135, 1223903138, 1242663854, 1242663844, 1223903178, 1223903140, 1242663814, 1223903190, 1223903103, 1223903155, 1223903188, 1223903092, 1223903157]
106351743|[1223903171, 1223903147, 1223903119, 1223903115, 1223903131, 1223903175, 1223903154, 1223903171]
106351746|[1223903187, 1223903182, 1223903097, 1223903111, 1223903187]
106351747|[1223903082, 1223903169, 1223903151, 1223903086, 1223903125, 1223903143, 1223903168, 1223903181, 1223903082]
106351750|[1223903148, 1223903132, 1223903107, 1223903119]
106351751|[1223903178, 1223903122]
106351752|[1223903132, 1223903184]
106351755|[1223903168, 1223903173, 1223903090]
