"timestamp","system_time","lat","lon","speed","bearing","provider"
"1525377732000","1525377731543","42.98213319","-78.79012627","19.75","117.8","gps"
"1525377733000","1525377732542","42.9820304","-78.78992329","19.75","123.0","gps"
"1525377734000","1525377733540","42.98193005","-78.78971939","20.25","124.5","gps"
"1525377735000","1525377734542","42.98182642","-78.78951271","21.0","124.5","gps"
"1525377736000","1525377735545","42.98171337","-78.78928634","22.0","124.1","gps"
"1525377737000","1525377736542","42.98158998","-78.78904504","23.25","124.1","gps"
"1525377738000","1525377737539","42.98146219","-78.78880086","24.5","125.1","gps"
"1525377739000","1525377738538","42.98133097","-78.78854781","25.75","125.7","gps"
"1525377740000","1525377739540","42.98118959","-78.78827726","26.75","126.0","gps"
"1525377741000","1525377740539","42.9810445","-78.78801266","27.0","126.1","gps"
"1525377742000","1525377741542","42.98089828","-78.78774194","26.5","126.3","gps"
"1525377743000","1525377742540","42.98075953","-78.78748391","26.5","126.0","gps"
"1525377744000","1525377743552","42.98062467","-78.78723106","26.0","125.8","gps"
"1525377745000","1525377744541","42.98049092","-78.78696911","25.75","126.1","gps"
"1525377746000","1525377745544","42.98036146","-78.78672178","25.0","126.1","gps"
"1525377747000","1525377746546","42.98023273","-78.78647388","24.75","126.4","gps"
"1525377748000","1525377747541","42.98009658","-78.78621941","24.75","126.4","gps"
"1525377749000","1525377748547","42.97996856","-78.78596881","24.5","126.3","gps"
"1525377750000","1525377749541","42.97983974","-78.78572547","24.75","126.0","gps"
"1525377751000","1525377750541","42.97970738","-78.78547808","24.75","126.2","gps"
"1525377752000","1525377751543","42.97957186","-78.78523652","25.0","126.7","gps"
"1525377753000","1525377752541","42.97942871","-78.78499074","25.0","127.0","gps"
"1525377754000","1525377753545","42.97929444","-78.78474838","25.0","127.0","gps"
"1525377755000","1525377754543","42.9791627","-78.78451588","24.25","127.4","gps"
"1525377756000","1525377755541","42.97902804","-78.78427815","23.5","128.2","gps"
"1525377757000","1525377756541","42.97890177","-78.78406018","23.25","128.9","gps"
"1525377758000","1525377757544","42.9787752","-78.78385255","22.75","130.0","gps"
"1525377759000","1525377758542","42.9786528","-78.78365566","23.0","130.3","gps"
"1525377760000","1525377759540","42.97851902","-78.78344254","23.25","131.8","gps"
"1525377761000","1525377760539","42.97837644","-78.78322545","23.25","131.8","gps"
"1525377762000","1525377761544","42.9782394","-78.78302431","22.5","133.0","gps"
